id,employeeid,log_datetime,direction,shortname,serialno
5437,1478,2024-08-10 13:56:41+00,In Device,CHECKIN,NCD8242000216
5438,1431,2024-08-20 05:56:16+00,Out Device,CHECKOUT,NCD8242000384
5439,1464,2024-08-10 13:57:06+00,In Device,CHECKIN,NCD8242000216
5440,1396,2024-08-20 05:56:21+00,Out Device,CHECKOUT,NCD8242000384
5441,1592,2024-08-10 13:57:20+00,In Device,CHECKIN,NCD8242000216
5442,1590,2024-08-20 05:56:23+00,Out Device,CHECKOUT,NCD8242000384
5443,1596,2024-08-10 13:57:22+00,In Device,CHECKIN,NCD8242000216
5444,1093,2024-08-20 05:56:35+00,Out Device,CHECKOUT,NCD8242000384
5445,1560,2024-08-10 13:57:42+00,In Device,CHECKIN,NCD8242000216
5446,952,2024-08-20 05:56:37+00,Out Device,CHECKOUT,NCD8242000384
5447,1650,2024-08-10 13:57:44+00,In Device,CHECKIN,NCD8242000216
5448,1561,2024-08-20 05:56:40+00,Out Device,CHECKOUT,NCD8242000384
5449,1497,2024-08-10 13:57:47+00,In Device,CHECKIN,NCD8242000216
5450,1296,2024-08-20 05:56:44+00,Out Device,CHECKOUT,NCD8242000384
5451,994,2024-08-10 13:57:50+00,In Device,CHECKIN,NCD8242000216
5452,1548,2024-08-20 05:56:51+00,Out Device,CHECKOUT,NCD8242000384
5453,1404,2024-08-10 13:57:52+00,In Device,CHECKIN,NCD8242000216
5454,1358,2024-08-20 05:57:17+00,Out Device,CHECKOUT,NCD8242000384
5455,1214,2024-08-10 13:57:54+00,In Device,CHECKIN,NCD8242000216
5456,908,2024-08-20 05:57:22+00,Out Device,CHECKOUT,NCD8242000384
5457,1549,2024-08-10 13:58:07+00,In Device,CHECKIN,NCD8242000216
5458,793,2024-08-20 05:57:28+00,Out Device,CHECKOUT,NCD8242000384
5459,1204,2024-08-10 13:58:22+00,In Device,CHECKIN,NCD8242000216
5460,1288,2024-08-20 05:57:31+00,Out Device,CHECKOUT,NCD8242000384
